Participant ID,Group,VR_Experience,VR_Enjoyment,Pre_PT,Pre_FS,Pre_EC,Pre_PD,Post_Cognitive_Total,Post_Affective_Total,Post_Compassion_Total,Post_Distress,UES_Focused_Attention,UES_Aesthetic_Elements,UES_Reward_Factor,Likely_Participate,Felt_Immersed,Emotional_Connection,Physical_Connection,Others_Enjoy
N01J,Control,2,6.0,22,26,19,9,13,7,15,3,5.0,4.333333333333333,3.6666666666666665,4,5,4,3,5
T02J,Test,2,4.0,14,25,15,17,18,10,15,5,4.0,4.0,4.666666666666667,5,3,3,3,4
N03J,Control,4,7.0,27,5,16,10,14,8,12,1,4.0,5.0,4.666666666666667,4,5,4,2,5
T04J,Test,4,8.0,20,24,25,20,14,15,15,1,5.0,5.0,5.0,5,5,5,4,5
T05J,Test,5,8.0,23,12,20,16,14,13,17,4,4.333333333333333,5.0,5.0,5,5,4,4,5
T06J,Test,2,6.0,14,19,21,17,11,11,12,4,4.0,5.0,5.0,5,5,4,4,5
N07J,Control,2,5.0,21,21,21,10,14,7,15,3,4.0,3.6666666666666665,2.6666666666666665,4,5,5,3,4
T08J,Test,3,8.0,17,21,21,13,14,7,13,1,3.0,3.3333333333333335,4.0,5,4,3,4,4
T09J,Test,2,6.0,23,17,21,18,12,9,12,1,3.6666666666666665,4.333333333333333,4.666666666666667,5,5,3,4,5
N10J,Control,4,10.0,21,20,23,15,18,15,18,5,5.0,5.0,5.0,5,5,5,3,5
N11J,Control,4,7.0,20,18,16,7,13,16,15,6,4.0,4.333333333333333,3.6666666666666665,4,5,4,4,3
N12J,Control,3,9.0,20,22,16,19,18,18,18,6,2.6666666666666665,4.0,4.666666666666667,5,4,5,4,4
T13J,Test,3,8.0,17,16,17,14,15,13,14,4,3.3333333333333335,4.0,4.0,4,4,4,4,4
N14J,Control,2,8.0,22,18,21,12,14,11,11,3,3.6666666666666665,4.333333333333333,3.6666666666666665,5,4,4,2,4
N15J,Control,4,8.0,23,17,22,10,17,13,16,3,2.6666666666666665,4.666666666666667,4.333333333333333,4,4,5,3,5
T16J,Test,3,3.0,18,19,21,7,13,13,18,6,5.0,5.0,5.0,5,5,5,5,5
T17J,Test,4,9.0,22,12,22,4,17,16,16,6,4.0,4.666666666666667,5.0,5,4,4,5,5
