Participant ID,Group,What is your age?,What is your occupation / major if a student?,"How much experience do you have with Virtual Reality, if any?","How much did you enjoy said experience?
Do Not answer if you reported no experience.","I daydream and fantasize, with some regularity, about things that might happen to me.","I often have tender, concerned feelings for people less fortunate than me.","I sometimes find it difficult to see things from the ""other guy's"" point of view.",Sometimes I don't feel very sorry for other people when they are having problems.,I really get involved with the feelings of the characters in a novel.,"In emergency situations, I feel apprehensive and ill-at-ease.","I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",I try to look at everybody's side of a disagreement before I make a decision.,"When I see someone being taken advantage of, I feel kind of protective towards them.",I sometimes feel helpless when I am in the middle of a very emotional situation.,I sometimes try to understand my friends better by imagining how things look from their perspective.,Becoming extremely involved in a good book or movie is somewhat rare for me.,"When I see someone get hurt, I tend to remain calm.",Other people's misfortunes do not usually disturb me a great deal.,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.","After seeing a play or movie, I have felt as though I were one of the characters.",Being in a tense emotional situation scares me.,"When I see someone being treated unfairly, I sometimes don't feel very much pity for them.",I am usually pretty effective in dealing with emergencies.,I am often quite touched by things that I see happen.,I believe that there are two sides to every question and try to look at them both.,I would describe myself as a pretty soft-hearted person.,"When I watch a good movie, I can very easily put myself in the place of a leading character.",I tend to lose control during emergencies.,"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while.","When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.","When I see someone who badly needs help in an emergency, I go to pieces.","Before criticizing somebody, I try to imagine how I would feel if I were in their place."
N01J,Control,31,Lecturer,2,6.0,E,D,A,B,E,D,A,D,D,C,E,A,D,C,C,D,C,B,D,D,D,C,D,A,E,E,A,C
T02J,Test,25,ASCL,2,4.0,E,B,D,C,E,D,A,B,C,E,D,A,B,C,C,D,D,B,C,D,C,C,C,B,C,E,B,D
N03J,Control,24,Computer Science,4,7.0,A,C,B,C,B,C,D,E,D,C,E,D,D,C,A,B,D,B,D,D,E,B,B,A,E,A,B,E
T04J,Test,20,Computer Science,4,8.0,E,D,A,A,D,E,A,C,D,D,D,D,A,B,B,E,D,A,B,E,D,E,E,C,D,E,B,C
T05J,Test,23,Computer Science Major,5,8.0,B,D,B,B,B,D,B,D,D,E,D,D,C,B,A,C,D,A,D,D,D,B,C,B,D,C,C,E
T06J,Test,21,Engineering and Geography,2,6.0,C,D,B,B,D,D,B,C,D,D,D,B,B,B,D,D,D,B,C,D,B,D,C,B,C,D,C,C
N07J,Control,26,PhD student in Engineering,2,5.0,D,D,A,A,E,C,A,E,C,C,C,A,D,A,A,B,C,A,B,D,E,B,C,A,C,D,A,B
T08J,Test,26,Physics PhD,3,8.0,D,E,A,C,E,B,B,C,D,C,D,A,B,B,D,C,C,B,D,D,B,D,C,C,D,D,C,D
T09J,Test,22,Computer Science,2,6.0,D,E,B,B,D,D,C,D,D,D,D,D,B,C,B,C,D,B,C,D,D,D,C,C,E,E,C,E
N10J,Control,24,Mechanical and Electrical Engineering Major,4,10.0,E,D,A,A,B,D,B,E,D,E,E,E,D,C,E,E,C,A,B,D,D,E,E,B,C,E,B,E
N11J,Control,24,Computer science,4,7.0,D,B,B,B,D,C,C,C,D,A,D,D,E,D,B,D,B,D,E,D,E,E,D,B,D,D,D,C
