Timestamp,What is your given Participant ID, [I understood how the character was feeling.], [I knew what the character felt emotionally.], [I could identify the feelings the character was having.], [The character's feelings transferred to me.], [I felt the same way as the character.], [I experienced the same emotion as the character.], [I had feelings of concern for the character.], [I experienced feelings of sympathy towards the character.], [I felt a sense of compassion for the character], [I felt distressed watching the character in this experience], [I lost myself in this experience.], [I was so involved in this experience that I lost track of time.], [I was absorbed in this experience.], [This experience was attractive], [This experience was aesthetically appealing.], [This experience appealed to my visual senses.], [This experience was worthwhile], [My experience was rewarding], [I felt interested in this experience],How likely are you to participate in an experience like this again?,How immersed did you feel in the VR environment?,To what extent did you feel emotionally connected to the character in the VR experience?,To what extent did you feel physically connected to the character in the VR experience?,I think others would enjoy this experience
11/17/2025 11:54:58,N01J,5,4,4,3                             Somewhat,2,2,5,5,5,3                             Somewhat,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4,5,4,3,5
11/17/2025 15:15:35,T02J,6                            Entirely,6                            Entirely,6                            Entirely,4,3                             Somewhat,3                             Somewhat,5,5,5,5,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5,3,3,3,4
11/17/2025 15:56:16,N03J,4,5,5,3                             Somewhat,2,3                             Somewhat,4,4,4,1,3                           Neither agree nor disagree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,4,5,4,2,5
11/17/2025 17:09:24,T04J,5,5,4,5,5,5,5,5,5,1,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,5,4,5
11/17/2025 18:47:01,T05J,4,5,5,4,4,5,5,6                            Entirely,6                            Entirely,4,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,4,4,5
11/17/2025 19:25:05,T06J,4,3                             Somewhat,4,4,4,3                             Somewhat,4,4,4,4,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,4,4,5
11/18/2025 11:43:28,N07J,4,5,5,3                             Somewhat,2,2,5,5,5,3                             Somewhat,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,4                             Agree,2                           Disagree,5                             Strongly Agree,3                           Neither agree nor disagree,2                           Disagree,3                           Neither agree nor disagree,4,5,5,3,4
11/18/2025 13:39:50,T08J,4,5,5,3                             Somewhat,2,2,5,4,4,1,3                           Neither agree nor disagree,2                           Disagree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,5,4,3,4,4
11/18/2025 14:41:31,T09J,4,4,4,2,3                             Somewhat,4,4,4,4,1,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,4                             Agree,5                             Strongly Agree,5,5,3,4,5
11/18/2025 15:40:05,N10J,6                            Entirely,6                            Entirely,6                            Entirely,5,5,5,6                            Entirely,6                            Entirely,6                            Entirely,5,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5                             Strongly Agree,5,5,5,3,5
11/18/2025 16:55:12,N11J,5,4,4,6                            Entirely,5,5,4,6                            Entirely,5,6                            Entirely,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4,5,4,4,3
11/18/2025 17:15:12,n12J,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,6                            Entirely,2                           Disagree,3                           Neither agree nor disagree,3                           Neither agree nor disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,5                             Strongly Agree,5                             Strongly Agree,5,4,5,4,4
11/18/2025 17:32:28,T13J,5,5,5,5,4,4,4,5,5,4,2                           Disagree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4                             Agree,4,4,4,4,4
11/18/2025 17:52:12,N14J,4,5,5,3                             Somewhat,4,4,2,4,5,3                             Somewhat,4                             Agree,4                             Agree,3                           Neither agree nor disagree,5                             Strongly Agree,4                             Agree,4                             Agree,4                             Agree,3                           Neither agree nor disagree,4                             Agree,5,4,4,2,4
